序号,视频标题,视频URL,UP主,播放量,发布时间,弹幕数,点赞数,投币数,收藏数,转发数
1,因为有你们，我每一步都走的那么坚定,https://www.bilibili.com/video/BV14kVRzJEgz,超神李信_对线生活,362.9万,2025-05-10 12:28:17,4113,58.1万,68.7万,5.7万,3862
2,选 择 你 的 干 员 ！,https://www.bilibili.com/video/BV1NhVZzsEdd,Ty丶童心未泯,356.3万,2025-05-11 10:00:00,3824,35.6万,7.7万,17.8万,9.0万
3,"《绝区零》雨果EP | My Curse, My Fate「Destin et malédiction」",https://www.bilibili.com/video/BV1jfE7zrEKd,绝区零,116.5万,2025-05-13 12:00:00,5261,14.0万,9.8万,4.4万,2.1万
4,《白银之城》首曝PV+实机展示丨侦探的黄金时代,https://www.bilibili.com/video/BV1BdEMzQEqq,白银之城,483.2万,2025-05-13 10:00:00,1.8万,13.1万,2.3万,4.1万,8.5万
5,挤爆了！！6个up主假期旺季去最热门景点旅游...【青春旅行团08】,https://www.bilibili.com/video/BV1WpETzxEiZ,雨哥到处跑,245.1万,2025-05-11 12:04:53,6.0万,23.3万,19.5万,7.5万,1.1万
6,【超人杯第二季】当五个职业C+对战天禄战队,https://www.bilibili.com/video/BV1cr5FzxEEH,一枪超人CSGO,146.0万,2025-05-11 20:00:00,1.8万,13.5万,12.6万,4.2万,1.1万
7,《一场盛大的陵园购》,https://www.bilibili.com/video/BV1XvVfz6Ern,维他动物园-,183.5万,2025-05-10 21:03:36,5853,30.8万,3.9万,5.1万,1118
8,你可能不认识我，但你一定看过我的操作,https://www.bilibili.com/video/BV1nfVozjErF,SuperMing小洺,497.1万,2025-05-10 16:09:01,3.4万,47.0万,2.4万,17.3万,7136
9,【毕导】这个定律，预言了你的人生进度条,https://www.bilibili.com/video/BV1VrVSz1Eme,毕导,384.6万,2025-05-10 11:00:00,1.8万,38.1万,22.0万,15.3万,4.4万
10,我在成为神人之前的作品，拿了很多国奖，可惜没什么用！,https://www.bilibili.com/video/BV1EzEuzpEM6,徐Toso,195.4万,2025-05-11 15:21:55,2449,12.6万,1.9万,3.6万,8362
