电影名称,导演,主演,评分,类型,上映时间,片长,制片国家,剧情简介,编剧,更多片名,发行公司,主演详情,详情页URL,图片URL,页码,本页序号
肖申克的救赎,弗兰克·德拉邦特,蒂姆·罗宾斯,9.2,剧情,1994年9月23日,142分钟,美国,20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯 饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望似乎虚无缥缈，终身监禁的惩罚无疑注定了安迪接下来灰暗绝望的人生。未过多久，安迪尝试接近囚犯中颇有声望的瑞德（摩根·弗里曼 饰），请求对方帮自己搞来小锤子。以此为契机，二人逐渐熟稔，安迪也仿佛在鱼龙混杂、罪恶横生、黑白混淆的牢狱中找到属于自己的求生之道。他利用自身的专业知识，帮助监狱管理层逃税、洗黑钱，同时凭借与瑞德的交往在犯人中间也渐渐受到礼遇。表面看来，他已如瑞德那样对那堵高墙从憎恨转变为处之泰然，但是对自由的渴望仍促使他朝着心中的希望和目标前进。而关于其罪行的真相，似乎更使这一切朝前推进了一步……,斯蒂芬·金弗兰克·德拉邦特,月黑高飞,Columbia TriStar Films ABRank Film Organization松竹影业,蒂姆·罗宾斯 饰 安迪; 摩根·弗里曼 饰 瑞德; 鲍勃·冈顿 饰 典狱长诺顿; 詹姆斯·惠特摩 饰 布鲁克斯,http://movie.mtime.com/12231/,http://img5.mtime.cn/mt/2020/06/04/161609.43043291_o.jpg,1,1
阿甘正传,罗伯特·泽米吉斯,汤姆·汉克斯,9.1,剧情//爱情,1994年9月22日,142分钟,荷兰,智商只有70的阿甘听从朋友珍妮的话开始以“跑”躲避别人的捉弄。中学时，他为了躲避别人而跑进了一所大学的橄榄球场，被破格录取，并成了橄榄球巨星，受到肯尼迪总统接见。阿甘大学毕业后入伍去了越南，结识了两个朋友：热衷捕虾的布巴和长官邓?泰勒上尉。这时，珍妮已经堕落，过着放荡的生活。甘一直爱着珍妮，但珍妮却不爱他。战争结束后，甘作为英雄受到约翰逊总统接见。一次和平集会上，甘跟珍妮短暂的相逢。在“说到就要做到”这一信条的指引下，甘最终闯出了一片属于自己的天空，结识了许多美国的名人，经历了很多历史事件。最后，甘通过捕虾成了一名企业家。为了纪念死去的布巴，他成立了布巴?甘公司，并把公司的一半股份给了布巴的母亲，自己去做一名园丁。在隐居生活中，他时常思念珍妮。而这时的珍妮早已误入歧途，陷于绝望之中。终于有一天她回来了，和甘共同生活了一段日子。在一天夜晚，珍妮投入了阿甘的怀抱，之后又悄然离去。醒来的甘木然坐在门前的长椅上，然后突然开始奔跑。他跑步横越了美国，又一次成了名人。回乡途中，他收到珍妮的信。他又一次见到珍妮，带着一个小男孩——那是他的儿子。这时的珍妮已经得了不治之症。三人回到家乡，度过一段幸福时光。珍妮过世了，他们的儿子也已到了上学的年龄。甘送儿子上了校车，坐在公共汽车站的长椅上，回忆起了他一生的遭遇。,温斯顿·格鲁姆艾瑞克·罗斯,,派拉蒙影业公司Prem'er Video Fil'mPioneer Entertainment,汤姆·汉克斯 饰 阿甘; 罗宾·莱特 饰 珍妮; 加里·西尼斯 饰 丹上尉; 莎莉·菲尔德 饰 阿甘妈妈,http://movie.mtime.com/10054/,http://img5.mtime.cn/img3x/mt/2014/06/17/145457.44209161_o.jpg,1,2
辛德勒的名单,史蒂文·斯皮尔伯格,连姆·尼森,9.1,传记//剧情//历史,1993年12月15日,195分钟,美国,二战期间，商人奥斯卡·辛德勒开厂生产军需用品，大发战争财，他贿赂军官，让自己的工厂成为了犹太人的避难所。德国战败前夕，辛德勒向德军军官开出了1200人的名单，倾家荡产买下了这些犹太人的生命……,斯蒂文·泽里安托马斯·肯尼利,舒特拉的名单,美国环球影业United International Pictures y Cía. S.R.C.United International Pictures (UIP) GmbH,连姆·尼森 饰 奥斯卡·辛德勒; 拉尔夫·费因斯 饰 阿蒙·高斯; 本·金斯利 饰 伊扎克·斯泰恩; 艾伯丝·戴维兹 饰 海伦,http://movie.mtime.com/12281/,http://img5.mtime.cn/mt/2020/06/04/162559.35265985_o.jpg,1,3
海豚湾,路易·西霍尤斯,里克·奥巴瑞,9.1,纪录片//犯罪,2009年7月31日,92分钟,美国,理查德·奥巴瑞(Richard O’Barry)现在大概还是世界顶级的海豚驯养专家，他说他用了10年的时间进行海豚的训练事业却毅然决然的用了35年的时间去毁灭它。他让更多的人喜欢上了海豚这种可爱聪明的生物，但庞大的利益却也造就了更多对这种生物的屠杀。　　在日本本州岛最南部的和歌山县，有个叫“太地町”的小村镇，面朝太平洋，三面悬崖高耸。5.96平方公里的镇上，住着约3600名居民，其中约1/3从事渔业。表面上看，小镇处处标榜着对鲸类动物的喜爱(海豚属于鲸类)：镇中心树立着微笑的鲸鱼模型，渡船粉饰成海豚的造型，地上石板印有拟人的海豚形象，镇上还有专门供奉鲸灵的寺庙……这里包装得好像一个主题公园。然而背后，却暗藏杀机。　　17世纪初的江户时代，太地町的渔民们发明了长矛捕鲸法，“鲸鱼镇”太地町成为日本传统捕鲸法的发源地。到了现代社会，捕鲸是当地居民的重要收入来源。1986年，国际捕鲸委员会(IWC)颁布了禁止商业捕鲸令，但一年后，“以研究为目的”的“限量捕鲸”行为仍然存在，而且日本的海豚和小鲸捕杀量增长了3倍。每年，平均有2.3万条海豚被日本“合法”围杀。光是在小小的太地町，就要“处理”1500多条海豚。　　目前，日本国内约有近80家水族馆，其中近半数的园馆饲养着鲸类。被抓来的海豚通常在两年里都会死去。而落选的海豚，成了市民的盘中餐。5000吨海豚肉出现在日本市场上，大多数普通市民却根本不会想到，自己吃过海豚肉，因为包装上写的是鲸鱼肉。　　拍摄到的画面让摄影团队彻底震惊了。屠杀开始后，蓝绿的海水瞬间变成触目的红色，亲眼看着孩子、父母被屠杀，海豚的哀叫从有到无，只剩下渔民的笑谈，海豚的尸体在水中浮上扶下……　　所有的拍摄队员都沉默了表情凝重……,马克·孟罗,海湾,狮门影业EuropaCorp. DistributionInternational Film Distribution Consultants,里克·奥巴瑞 饰 Rick O'Barry; 路易·西霍尤斯 饰 Louie Psihoyos; 哈迪·琼斯 饰 Hardy Jones; 森下助二 饰 Joji Morishita,http://movie.mtime.com/98604/,http://img5.mtime.cn/img3x/mt/2016/07/28/145303.88789702_o.jpg,1,4
盗梦空间,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥,9.1,动作//冒险//科幻,2020年8月28日,148分钟,2D/IMAX,多姆·柯布（莱昂纳多·迪卡普里奥饰）是一个经验老到的窃贼。在人们精神最为脆弱的时候，他潜入别人梦中，窃取潜意识中有价值的信息和秘密。在一次任务中，柯布和他的同伴亚瑟（约瑟夫·高登·莱维特饰），因柯布的潜意识——柯布的亡妻梅尔（玛丽昂·歌迪亚饰）的阻挠，未能成功窃取雇主所需要的资料，从而面临着两天之内被杀的危险。         为了保命，他们的另外一个同伴把他们出卖给了之前他们窃取梦境的对象——斋藤（渡边谦饰），斋藤找到柯布和亚瑟，希望他们能够为自己服务，也就是找到全球垄断巨头的儿子费舍尔（希里安·墨菲饰 ），在费舍尔的头脑中植入遣散公司的意念，从而消灭自己的竞争对手，如果成功，将带他回国。由于柯布迫切地想回家见自己的孩子，他答应了斋藤的请求，找到了“伪装者”埃姆斯、“药剂师”尤斯福、“造梦师”阿里阿德涅。买下了整个航空公司，让费舍尔的私人飞机故障检修，然后在费舍尔飞往洛杉矶的途中实施了这个计划。        柯布等一行六人将费舍尔带入了事先造好的梦境，对费舍尔进行意念的培养，然而费舍尔先前曾受过防止在梦中被袭击的专业训练，于是在第一层梦境中，他们受到费舍尔潜意识保卫队的猛烈攻击，斋藤受伤。但最后，成功地将遣散公司的意念植入费舍尔脑中，化解了费舍尔与其父亲的矛盾。在这中间，柯布又受到了爱妻梅尔的阻挠，但柯布最终战胜了自己，摆脱了自己头脑中亡妻幻影的迷惑，并找到了迷失的斋藤。,克里斯托弗·诺兰,奠基,Warner Bros. GmbH华纳兄弟公司Karo Premiere,莱昂纳多·迪卡普里奥 饰 “盗梦人”道姆·柯布; 约瑟夫·高登-莱维特 饰 “前哨者”亚瑟; 埃利奥特·佩吉 饰 “筑梦师”阿德里安; 汤姆·哈迪 饰 “伪造者”埃姆斯,http://movie.mtime.com/99547/,http://img5.mtime.cn/mt/2020/08/06/163756.17081814_o.jpg,1,5
霸王别姬,陈凯歌,张国荣,9.0,爱情//剧情//音乐,1993年1月1日,171分钟,中国香港,演生角的段小楼（张丰毅 饰）与演旦角的程蝶衣（张国荣 饰）是自小在一起长大的师兄弟。两人合演的《霸王别姬》誉满京城，程蝶衣对师哥的感情正如虞姬——从一而终，而艺名段小楼的师哥只把蝶衣当兄弟，并且迎娶了同样命运多舛的风尘女子菊仙。蝶衣随即和菊仙争风吃醋，而且在绝望中投向此时身边唯一欣赏他的官僚袁世卿，任自己沉沦。二人斗气，被师傅教训要他们和好，菊仙阻挠，并且暗示蝶衣在吸食鸦片，问做师傅的管不管，隐晦地表达了师傅偏心，这惹狂了段小楼，要打菊仙，菊仙气急说出自己已有身孕。后来师傅猝死，蝶衣和段小楼两人又重新收养了蝶衣多年前带回来戏班的弃婴小四，勉强和好。　　抗战结束后，两人被迫给一群无纪律无素质的国军士兵唱戏，段小楼与士兵冲突，混乱中菊仙流产，而后有士兵以汉奸罪抓走蝶衣。段小楼倾力营救蝶衣，低声下气去求曾经玩弄蝶衣的官僚袁世卿。菊仙要蝶衣说谎苟且求释，并将小楼不再与蝶衣唱戏的字据给蝶衣看。于是蝶衣在法庭上始终不屈，却因其技艺被国民党高官营救。解放后，两人的绝艺并没有受到重视，误尝鸦片的程蝶衣嗓音日差，在一次表演中破嗓，决心戒毒，历经毒瘾折磨后在段小楼夫妻的共同帮助下终于重新振作。却被当年好心收养的孩子小四陷害，小四逼着要取代他虞姬的位置与段小楼演出，段小楼不顾后果罢演，菊仙为了大局劝他演，段小楼最终进行了演出。蝶衣伤心欲绝，从此与段小楼断交。文革时，段小楼被小四陷害，并逼他诬陷蝶衣，段小楼不肯，被拉去游街，此时蝶衣却突然出现，一身虞姬装扮，甘愿同段小楼一起受辱，段小楼见蝶衣已经自投陷阱，希望能保护菊仙而在无奈中诬陷蝶衣，甚至说他是汉奸，蝶衣听后痛不欲生，以为段小楼只在乎菊仙，又看到自己所怨恨的菊仙此刻竟在可怜自己、帮助自己，便将所有的愤懑发泄在菊仙身上，抖出菊仙曾为娼妓，段小楼因此被逼与菊仙划清界线，说从来没爱过菊仙，菊仙在绝望中上吊自杀。　　历尽沧桑的程蝶衣和段小楼在十一年后再演《霸王别姬》，不愿梦醒的蝶衣宁愿像虞姬一样，永远倒在血染的爱情里——从一而终，他用自己送给段小楼的宝剑自刎了。,李碧华芦苇Bik-Wa Lei,,人造眼Buena Vista Home VideoEditora Europa,张国荣 饰 程蝶衣; 张丰毅 饰 段小楼; 巩俐 饰 菊仙; 葛优 饰 袁四爷,http://movie.mtime.com/10190/,http://img5.mtime.cn/mt/2020/02/17/093807.22415163_o.jpg,1,6
教父,弗朗西斯·福特·科波拉,马龙·白兰度,9.0,犯罪//剧情,1972年3月24日,175分钟,美国,影片讲述了教父唐·科里昂的小儿子迈克尔如何成为新教父的故事，把小说中虚构的纽约黑手党塑造成一个实现美国梦的家族奋斗史。血雨腥风和温情脉脉，在这部里程碑式的黑帮史诗巨片里真实上演。,弗朗西斯·福特·科波拉马里奥·普佐,,派拉蒙影业公司Cinéma International Corporation (CIC)NBC电视台,马龙·白兰度 饰 维托; 阿尔·帕西诺 饰 迈克尔; 詹姆斯·卡恩 饰 桑尼; 罗伯特·杜瓦尔 饰 汤姆·哈根,http://movie.mtime.com/10968/,http://img5.mtime.cn/img3x/mt/2013/12/23/133539.17727433_o.jpg,1,7
乱世佳人,维克多·弗莱明,费雯·丽,9.0,剧情//历史//爱情,1939年12月15日,238分钟,美国,1861年南北战争爆发的前夕，塔拉庄园的千金小姐郝思嘉（费雯·丽 饰）爱上了另一庄园主的儿子艾希礼（莱斯利·霍华德 饰），但艾希礼却选择了温柔善良的梅兰妮（奥利维娅·德哈维兰 饰）。郝思嘉赌气嫁给梅兰妮的弟弟查尔斯。南北战争爆发后，查尔斯上前线并战死。郝思嘉成了寡妇，但她内心却一直热恋着艾希礼。郝思嘉和风度翩翩的商人白瑞德（克拉克·盖博 饰）相识，但拒绝了他的追求。目睹战乱带来的惨状，任性的郝思嘉成熟了不少。不少人家惊惶地开始逃离家园，但正巧梅兰妮要生孩子，郝思嘉只好留下来照顾她。战后郝思嘉在绝望中去找白瑞德借钱，偶遇本来要迎娶她妹妹的暴发户弗兰克。为了保住家园，她勾引弗兰克跟她结婚。　　弗兰克和艾希礼加入了反政府的秘密组织，在一次集会时遭北方军包围，弗兰克中弹死亡，艾希礼负伤逃亡，在白瑞德帮助下回到梅兰妮身边。郝思嘉再次成为寡妇，此时，白瑞德前来向她求婚，她终于与一直爱她的搞私运军火和粮食致富的白瑞德结了婚。一年后，女儿邦妮出生，白瑞德把全部感情投注到邦妮身上，他跟郝思嘉的感情却因她忘不了阿什利而破裂。郝思嘉再次怀孕，但在和白瑞德的争吵中滚下楼梯流产。白瑞德感到内疚，决心同郝思嘉言归于好，不料就在这时，小女儿邦妮意外坠马摔死了。与此同时梅兰妮终因操劳过度卧病不起。临终前，她把自已的丈夫艾希礼和儿子托付给郝思嘉，郝思嘉不顾一切扑向艾希礼的怀中，紧紧拥抱住他，站在一旁的白瑞德无法再忍受下去，转身离去。面对伤心欲绝毫无反应的艾希礼，郝思嘉终于明白，她爱的艾希礼其实是不存在的，她真正需要的是白瑞德。　　当郝思嘉赶回家里告诉白瑞德，她是真正爱他的时候，白瑞德已不再相信她。他决心离开郝思嘉，返回老家去寻找美好的事物，被遗弃的郝思嘉站在浓雾迷漫的院中，想起了父亲曾经对她说过的一句话：“世界上唯有土地与明天同在。”她决定守在她的土地上重新创造新的生活，她期盼着美好的明天的到来。,玛格丽特·米歇尔西德尼·霍华德本·赫克特,飘,米高梅电影公司HBO有线电视频道NBC电视台,费雯·丽 饰 郝思佳; 克拉克·盖博 饰 白瑞德; 奥利维娅·德哈维兰 饰 梅兰妮; 莱斯利·霍华德 饰 艾希礼,http://movie.mtime.com/11234/,http://img5.mtime.cn/img3x/mt/2013/11/08/145957.19577928_o.jpg,1,8
天堂电影院,朱塞佩·托纳多雷,菲利浦·诺瓦雷,9.0,剧情,2021年6月11日,155分钟,中国,西西里岛上的吉安加村有座小教堂，教堂前有一家电影院，叫做“天堂戏院”。小镇上古灵精怪的小男孩多多喜欢看电影，更喜欢看放映师艾佛特放电影，他和艾佛特成为了忘年之交，在胶片中找到了童年生活的乐趣。,朱塞佩·托纳多雷万纳·帕奥里,新天堂乐园,华夏电影发行有限责任公司,菲利浦·诺瓦雷 饰 艾佛特; 萨瓦特利·卡西欧 饰 多多; 马克·莱昂纳蒂 饰 青年多多; 艾格尼丝·娜诺 饰 艾琳娜,http://movie.mtime.com/11982/,http://img5.mtime.cn/img3x/mt/2014/02/22/230204.38226096_o.jpg,1,9
这个杀手不太冷,吕克·贝松,让·雷诺,9.0,犯罪//剧情//惊悚,2024年11月1日,110分钟,中国,纽约贫民区住着一个意大利人，名叫里昂（让·雷诺 饰），他是一名职业杀手。一天，邻居家小姑娘马蒂尔德（娜塔莉·波特曼 饰）敲开了他的房门，要求在他这里暂避杀身之祸。原来，邻居家的主人是警察的眼线，因贪污了一小包毒品而遭恶警剿灭全家的惩罚。马蒂尔德得到里昂的留救，开始帮里昂管理家务并教其识字，里昂则教女孩用枪，两人相处融洽。女孩跟踪恶警，贸然去报仇，不小心被抓。里昂及时赶到，将女孩救回。他们再次搬家，但女孩还是落入恶警之手。里昂撂倒一片警察，再次救出女孩并让她通过通风管道逃生，并嘱咐她去把他积攒的钱取出来。里昂则化装成警察试图混出包围圈，但被狡猾的恶警识破，不得已引爆了身上的炸弹...,吕克·贝松,终极追杀令,Gaumont Buena Vista International (GBVI)Astro DistributionBuena Vista International UK,让·雷诺 饰 莱昂; 娜塔莉·波特曼 饰 马蒂尔德; 加里·奥德曼 饰 流氓警察史丹菲尔; 丹尼·爱罗 饰 黑帮头目,http://movie.mtime.com/12599/,http://img5.mtime.cn/img3x/mt/2014/09/12/102734.13658001_o.jpg,1,10
