订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现
DD201708167493663618499909784,E43A6E078A07631, ,4.5,68g好丽友巧克力派2枚,2017/1/1 0:53,D,已出货未退款,已提现
DD201708167493663555814061164,E43A6E078A04172,3,3,40g双汇玉米热狗肠,2017/1/1 1:33,A,已出货未退款,已提现
DD201708167493578526890939886,E43A6E078A06874,5.5,5.5,430g泰奇八宝粥,2017/1/1 8:45,E,已出货未退款,已提现
DD201708167493683507186615837,E43A6E078A04228,5,5,48g好丽友薯愿香烤原味,2017/1/1 9:05,C,已出货未退款,已提现
DD201708167493759548618252006,E43A6E078A04134,3,3,600ml可口可乐,2017/1/1 9:41,B,已出货未退款,已提现
DD2017081016294251D0FA5D314F1,E43A6E078A04134,4.5,4.5,营养快线,2017/1/1 9:41,B,已出货未退款,已提现
DD201708167493663534589050871,E43A6E078A04228,7,7,330ml伊利畅意乳酸菌原味,2017/1/1 10:02,C,已出货未退款,已提现
DD201708167493663526093267894,E43A6E078A04228,8,8,160g盼盼手撕面包,2017/1/1 11:33,C,已出货未退款,已提现
DD20170526144916178D2B0429C26,E43A6E078A04134,3,3,茉莉蜜茶,2017/1/1 11:56,B,已出货未退款,已提现
DD20170810162914447BA58EF3127,E43A6E078A04228,2,2,鸭翅,2017/1/1 11:56,C,已出货未退款,已提现
DD2017081674930611792937303584,E43A6E078A07631,5,5,85g统一老坛酸菜牛肉面,2017/1/1 12:53,D,已出货未退款,已提现
DD2017081674930612078044876854,E43A6E078A04228,3,3,40g双汇玉米热狗肠,2017/1/1 12:55,C,已出货未退款,已提现
DD2017083114403518C7B2A1F9252,E43A6E078A04228,3,3,怡宝,2017/1/1 18:42,C,已出货未退款,已提现
DD201708167493596679223858182,E43A6E078A06874,5,5,500ml农夫果园 (芒果+菠萝+番石榴),2017/1/1 18:59,E,已出货未退款,已提现
DD201708167493596702065938611,E43A6E078A06874,5,5,150g洽洽原香瓜子,2017/1/1 19:11,E,已出货未退款,已提现
DD201708167493596819993334758,E43A6E078A06874,5,5,250ml维他原味豆奶,2017/1/1 19:28,E,已出货未退款,已提现
DD201708167493663388737478695,E43A6E078A04172,5.8,5.8,100g卫龙点心面黑椒牛排味,2017/1/1 19:29,A,已出货未退款,已提现
DD201708167493759548618252006,E43A6E078A04134,3,3,600ml可口可乐,2017/1/1 9:41,B,已出货未退款,已提现
DD2017081016294251D0FA5D314F1,E43A6E078A04134,4.5,4.5,营养快线,2017/1/1 9:41,B,已出货未退款,已提现
DD201708167493663381827746988,E43A6E078A04172,0.8,0.8,咪咪虾条马来西亚风味,2017/1/1 19:33,A,已出货未退款,已提现
DD201708167493596828748693834,E43A6E078A06874,5,5,30g无穷农场盐_鸡蛋,2017/1/1 19:34,E,已出货未退款,已提现
DD2017081674930909168939680514,E43A6E078A06874,4,4,55g奥利奥原味芝士饼干,2017/1/1 19:44,E,已出货未退款,已提现
DD201708167493683503095993712,E43A6E078A04172,3,3,250ml维他柠檬茶,2017/1/1 19:55,A,已出货未退款,已提现
DD201708167493578804837461406,E43A6E078A06874,5.5,5.5,430g泰奇八宝粥,2017/1/1 19:57,E,已出货未退款,已提现
DD2017081110292488D71D623E8F9,E43A6E078A04172,3.5,3.5,东鹏特饮,2017/1/1 20:18,A,已出货未退款,已提现
DD20170527093029701EF116F567E,E43A6E078A06874,4,4,营养快线,2017/1/1 20:18,E,已出货未退款,已提现
DD201708167493507701935975302,E43A6E078A04172,3,3,250ml维他柠檬茶,2017/1/1 20:25,A,已出货未退款,已提现
DD2017081018210213E80D235B1C8,E43A6E078A04172,3,3,卫龙大面筋,2017/1/1 20:25,A,已出货未退款,已提现
DD20170526164305220F5FD19CC2B,E43A6E078A04134,3,3,可口可乐最新款,2017/1/1 20:25,B,已出货未退款,已提现
DD201705261444197833969DB2C08,E43A6E078A07631,6,6,红牛,2017/1/1 20:25,D,已出货未退款,已提现
DD2017083114495376605B3DD9929,E43A6E078A06874,3,3,统一冰红茶,2017/1/1 22:17,E,已出货未退款,已提现
DD201708167493596870981677744,E43A6E078A06874,5,5,30g无穷农场盐_鸡蛋,2017/1/2 8:47,E,已出货未退款,已提现
DD201708167493596972754353652,E43A6E078A06874,5,5,268ml雀巢咖啡丝滑拿铁,2017/1/2 8:48,E,已出货未退款,已提现
DD2017081110281595114AF30BC0D,E43A6E078A04172,3.5,3.5,东鹏特饮,2017/1/2 8:50,A,已出货未退款,已提现
DD2017052708440399E66AE6DB8CF,E43A6E078A04228,4,4,阿萨姆奶茶,2017/1/2 8:50,C,已出货未退款,已提现
DD201708167493663011130083739,E43A6E078A04228,4.5,4.5,250ml燕塘甜牛奶,2017/1/2 11:55,C,已出货未退款,已提现
DD201708167493662937167036721,E43A6E078A04172,1.5,1.5,卫龙亲嘴烧红烧牛肉味,2017/1/2 12:02,A,已出货未退款,已提现
DD201708167493000663278607429762,E43A6E078A04228,3,3,13g无穷烤鸡小腿蜂蜜味,2017/1/2 13:04,C,已出货未退款,已提现
DD201708167493000748411310035113,E43A6E078A07631,1.8,1.8,32g卫龙亲嘴烧,2017/1/2 13:27,D,已出货未退款,已提现
DD2017052614372337DD5D9082B98,E43A6E078A04172,4.5,4.5,阿萨姆奶茶,2017/1/2 13:34,A,已出货未退款,已提现
DD201708101628301024CCDCABC17,E43A6E078A04134,2,2,鸭翅,2017/1/2 13:34,B,已出货未退款,已提现
DD201708167493000823905948817982,E43A6E078A07631,3.6,3.6,32g卫龙亲嘴烧红烧牛肉味,2017/1/2 13:35,D,已出货未退款,已提现
DD2017081016011883467623F969D,E43A6E078A04228,3.5,3.5,王老吉（罐）,2017/1/2 13:54,C,已出货未退款,已提现
DD2017052614340330D7B5622C7D7,E43A6E078A07631,4,4,营养快线,2017/1/2 13:54,D,已出货未退款,已提现
DD201708167493000886602404211123,E43A6E078A06874,8.4,8.4,旺仔牛奶,2017/1/2 13:57,E,已出货未退款,已提现
DD201708167493000920097772300065,E43A6E078A04172,4,4,145ml旺仔牛奶盒装,2017/1/2 13:58,A,已出货未退款,已提现
DD201708167493000977911129669717,E43A6E078A04134,4.5,4.5,500ml营养快线原味,2017/1/2 14:36,B,已出货未退款,已提现
DD2017071815335333C75998948C5,E43A6E078A04228,3,3,雪碧最新款,2017/1/2 14:37,C,已出货未退款,已提现
DD201708167493954123262996203,E43A6E078A07631,3,3,维他奶,2017/1/2 14:37,D,已出货未退款,已提现
DD201708167493596972754353652,E43A6E078A06874,5,5,268ml雀巢咖啡丝滑拿铁,2017/1/2 8:48,E,已出货未退款,已提现
DD2017081110281595114AF30BC0D,E43A6E078A04172,3.5,3.5,东鹏特饮,2017/1/2 8:50,A,已出货未退款,已提现
DD2017081016005760A75384AE967,E43A6E078A04134,3.5,3.5,王老吉（罐）,2017/1/2 15:28,B,已出货未退款,已提现
DD201705261433514328818A8FA3F,E43A6E078A06874,2,2,伊利优酸乳,2017/1/2 15:28,E,已出货未退款,已提现
DD2017052614334247A1D72F02E30,E43A6E078A04172,2,2,伊利优酸乳,2017/1/2 15:56,A,已出货未退款,已提现
DD2017081015591510ED7D01323D6,E43A6E078A04228,3.5,3.5,王老吉（罐）,2017/1/2 15:56,C,已出货未退款,已提现
DD201708167493597059709128937,E43A6E078A06874,5,5,500ml统一阿萨姆奶茶,2017/1/2 16:07,E,已出货未退款,已提现
DD201708167493662825812423911,E43A6E078A07631,4.5,4.5,500ml加多宝,2017/1/2 16:22,D,已出货未退款,已提现
DD2017081674930011105441136533,E43A6E078A04228,2,2,5片装益达绿箭口香糖,2017/1/2 16:58,C,已出货未退款,已提现
DD2017081674930012276096686693,E43A6E078A04228,16.5,16.5,统一来一桶香辣老坛酸菜牛肉面,2017/1/2 16:59,C,已出货未退款,已提现
DD201708167493662796458254074,E43A6E078A04134,2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/2 17:03,B,已出货未退款,已提现
DD20170816749300130459495371848,E43A6E078A06874,2,2,145ml旺仔牛奶盒装,2017/1/2 17:46,E,已出货未退款,已提现
DD201708167493662701761209108,E43A6E078A04228,5,5,无穷农场盐_鸡蛋,2017/1/2 17:47,C,已出货未退款,已提现
DD201708167493662676786033735,E43A6E078A07631,3,3,12g劲仔小鱼麻辣味,2017/1/2 18:16,D,已出货未退款,已提现
DD201708167493662643691517202,E43A6E078A04228,5.6,5.6,250ml维他原味豆奶,2017/1/2 18:23,C,已出货未退款,已提现
DD20170816749300152283248653128,E43A6E078A04134,3.5,3.5,250ml燕塘甜牛奶,2017/1/2 18:59,B,已出货未退款,已提现
DD201708167493344231000764383,E43A6E078A04228,3.5,3.5,250ml燕塘红枣牛奶,2017/1/2 19:02,C,已出货未退款,已提现
DD20170718154222745C87CCEB6CF,E43A6E078A04228,2,2,怡宝纯净水,2017/1/2 19:02,C,已出货未退款,已提现
DD20170816749300156131773605949,E43A6E078A04134,9,9,250ml燕塘原味酸奶,2017/1/2 20:03,B,已出货未退款,已提现
DD20170816749300168097665780486,E43A6E078A04134,4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/2 20:28,B,已出货未退款,已提现
DD201708167493683390472048862,E43A6E078A07631,3,3,250ml维他柠檬茶,2017/1/2 20:53,D,已出货未退款,已提现
