province_name,gdp_value,tax_value
广东,89879.23,18284.98
江苏,85900.94,12849.93
山东,72678.18,8133.62
浙江,51768,9681.05
河南,44988.16,4328.5
四川,36980.2,4698.02
湖北,36522.95,4590.86
河北,35964,4243.45
湖南,34590.56,3665.15
福建,32298.28,3959.6
上海,30133.86,12849.93
北京,28000.4,12404.13
安徽,27518.7,3755.84
辽宁,23942,3783.9
陕西,21898.81,3003.17
江西,20818.5,2801.54
广西,20396.25,2111.84
重庆,19500.27,2645.67
天津,18595.38,3270.44
云南,16531.34,2809.2
黑龙江,16199.9,1797.51
内蒙古,16103.2,2281.98
吉林,15288.9,1870.61
山西,14973.5,2475.58
贵州,13540.83,2211.82
新疆,10920,1947.64
甘肃,7677,1258.23
海南,4462.5,1020.35
宁夏,3453.93,563.38
青海,2642.8,360.76
西藏,1310.6,331.87
