user_id,age,gender,annual_income,marital_status,buy_car_sign
1,30-,male,10-20w,否,否
2,41-50,female,21-40w,是,是
3,31-40,male,10-20w,否,否
4,30-,male,41w+,否,是
5,41-50,male,21-40w,是,否
6,51+,male,21-40w,是,是
7,31-40,male,10-20w,否,否
8,30-,female,21-40w,是,是
9,41-50,male,21-40w,是,否
10,51+,male,10-20w,是,是
11,31-40,female,21-40w,否,否
12,30-,male,41w+,否,是
13,30-,male,21-40w,是,否
14,41-50,female,10-20w,否,否
15,31-40,male,41w+,是,是
16,30-,male,21-40w,是,否
17,51+,female,41w+,否,是
18,31-40,male,21-40w,是,是
19,30-,female,21-40w,是,否
20,41-50,female,41w+,是,是
21,51+,female,21-40w,否,否
22,41-50,male,10-20w,是,否
23,51+,male,41w+,是,是
24,31-40,female,21-40w,否,否
25,51+,male,41w+,否,是
26,31-40,male,21-40w,是,否
27,30-,female,10-20w,是,是
28,30-,male,41w+,否,否
29,41-50,female,21-40w,是,是
30,31-40,male,21-40w,是,否
