编号,标题,总价,单价,小区,街道,户型,面积,朝向,装修,楼层,楼型/时间,关注度,时间,地区
0,横厅大平层，朝南视野开阔，精装家具家电齐全拎包住,156万,"11,363元/平",世茂璀璨天城晏旸,汽博中心,4室2厅,137.29平米,东,精装,中楼层(共26层),塔楼,0人关注,1个月以前发布,江北区
1,房满了两年可以正常交易，采光不受影响，诚心出售,82万,"10,111元/平",御峰四期尚城,南滨路,2室2厅,81.1平米,北,毛坯,中楼层(共34层),2020年,6人关注,一年前发布,沙坪坝
2,鹿山轻轨站旁 次新小区 清水三室 成熟配套 生活便利,95万,"10,635元/平",汇祥林里3000四期,中央公园东区,3室2厅,89.33平米,北,毛坯,30层,2017年,0人关注,1个月以前发布,渝北区
3,巴滨路龙湖春江天镜正看中庭全新精装四房出售,115万,"8,972元/平",龙湖春江天镜江宸,融汇半岛,4室2厅,128.18平米,西北,精装,38层,塔楼,2人关注,一年前发布,沙坪坝
4,全屋精装修  品牌家电 拎包入住 看中庭  户型方正,96万,"8,810元/平",康田栖樾,九宫庙,3室2厅,108.97平米,北,精装,18层,2017年,0人关注,1个月以前发布,江北区
5,大学城便宜的清水四房，视野开阔，满五唯一，安心卖,82万,"5,929元/平",东方剑桥,大学城,4室2厅,138.31平米,东北,毛坯,中楼层(共28层),2010年,1人关注,6个月以前发布,沙坪坝
6,牛角沱轻轨站 上清寺转盘旁 两室一厅,32万,"5,274元/平",嘉陵桥西村,上清寺,2室1厅,60.68平米,南,简装,低楼层(共10层),2000年,1人关注,18天以前发布,渝北区
7,由央企开发商电建打造，世界排名121 强，品质有保障,155万,"13,081元/平",洺悦国际,石坪桥,4室2厅,118.5平米,南,毛坯,18层,塔楼,3人关注,5个月以前发布,巴南区
8,万科四季花城一期 地铁口旁 精装两房 家具家电齐全,59.8万,"9,200元/平",万科四季花城一期,水土,2室1厅,65平米,南,精装,中楼层(共18层),板塔结合,0人关注,1个月以前发布,沙坪坝
9,精装修三房双卫+万科品质洋房+业主诚心卖,150万,"15,958元/平",万科金域学府翰林熙园,七公里,3室1厅,94平米,东南,精装,中楼层(共8层),2016年,0人关注,5个月以前发布,江北区
10,花卉园轻轨站500米处安静老洋房，精装修业主安心出售,134万,"7,872元/平",卉景花园,花卉园,5室2厅,170.23平米,南,精装,中楼层(共4层),2004年,12人关注,一年前发布,巴南区
11,楼间距宽，采光通风好，户型方正，随时看房，业主诚心,136万,"9,968元/平",华侨城云溪都会,礼嘉,4室1厅,136.44平米,东南,毛坯,中楼层(共33层),塔楼,1人关注,1个月以前发布,江北区
