编号,标题,总价,单价,小区,街道,户型,面积,朝向,装修,楼层,楼型/时间,关注度,时间,地区
0,横厅大平层，朝南视野开阔，精装家具家电齐全拎包住,156万,"11,363元/平",世茂璀璨天城晏旸,汽博中心,4室2厅,137.29平米,东,精装,中楼层(共26层),塔楼,0人关注,1个月以前发布,江北区
1,房满了两年可以正常交易，采光不受影响，诚心出售,82万,"10,111元/平",御峰四期尚城,南滨路,2室2厅,81.1平米,北,毛坯,中楼层(共34层),2020年,6人关注,一年前发布,沙坪坝
2,鹿山轻轨站旁 次新小区 清水三室 成熟配套 生活便利,95万,"10,635元/平",汇祥林里3000四期,中央公园东区,3室2厅,89.33平米,北,毛坯,30层,2017年,0人关注,1个月以前发布,渝北区
3,巴滨路龙湖春江天镜正看中庭全新精装四房出售,115万,"8,972元/平",龙湖春江天镜江宸,融汇半岛,4室2厅,128.18平米,西北,精装,38层,塔楼,2人关注,一年前发布,沙坪坝
4,全屋精装修  品牌家电 拎包入住 看中庭  户型方正,96万,"8,810元/平",康田栖樾,九宫庙,3室2厅,108.97平米,北,精装,18层,2017年,0人关注,1个月以前发布,江北区
5,大学城便宜的清水四房，视野开阔，满五唯一，安心卖,82万,"5,929元/平",东方剑桥,大学城,4室2厅,138.31平米,东北,毛坯,中楼层(共28层),2010年,1人关注,6个月以前发布,沙坪坝
6,牛角沱轻轨站 上清寺转盘旁 两室一厅,32万,"5,274元/平",嘉陵桥西村,上清寺,2室1厅,60.68平米,南,简装,低楼层(共10层),2000年,1人关注,18天以前发布,渝北区
7,由央企开发商电建打造，世界排名121 强，品质有保障,155万,"13,081元/平",洺悦国际,石坪桥,4室2厅,118.5平米,南,毛坯,18层,塔楼,3人关注,5个月以前发布,巴南区
8,万科四季花城一期 地铁口旁 精装两房 家具家电齐全,59.8万,"9,200元/平",万科四季花城一期,水土,2室1厅,65平米,南,精装,中楼层(共18层),板塔结合,0人关注,1个月以前发布,沙坪坝
9,精装修三房双卫+万科品质洋房+业主诚心卖,150万,"15,958元/平",万科金域学府翰林熙园,七公里,3室1厅,94平米,东南,精装,中楼层(共8层),2016年,0人关注,5个月以前发布,江北区
10,花卉园轻轨站500米处安静老洋房，精装修业主安心出售,134万,"7,872元/平",卉景花园,花卉园,5室2厅,170.23平米,南,精装,中楼层(共4层),2004年,12人关注,一年前发布,巴南区
11,楼间距宽，采光通风好，户型方正，随时看房，业主诚心,136万,"9,968元/平",华侨城云溪都会,礼嘉,4室1厅,136.44平米,东南,毛坯,中楼层(共33层),塔楼,1人关注,1个月以前发布,江北区
12,装修好，出行方便，万达旁的正规2房，户型方正,36万,"5,807元/平",古渡春色,九宫庙,2室1厅,62平米,南,简装,高楼层(共33层),2012年,4人关注,一年前发布,渝北区
13,楼层好 视野宽阔 采光充足 配套设施齐全 交通便利,128万,"8,801元/平",重庆融创文旅城御滨,西永,4室2厅,145.44平米,东南,毛坯,中楼层(共6层),板楼,4人关注,一年前发布,沙坪坝
14,大坪精装电梯两房，出入方便楼下就是公交站，总价低。,60万,"6,994元/平",拓展大厦,大坪,2室1厅,85.8平米,东南,精装,14层,塔楼,0人关注,29天以前发布,巴南区
15,忍痛割爱，阳光城住家装修两室，保持相当新！,40万,"5,648元/平",阳光城中央大道,滨江新城,2室1厅,70.83平米,西,精装,高楼层(共28层),板塔结合,0人关注,1个月以前发布,江北区
16,南岸纯洋房小区 70年产权 溯源居 看中庭2楼洋房诚心卖,150万,"10,163元/平",溯源居,四公里,4室2厅,147.6平米,东南,精装,4层,2004年,3人关注,1个月以前发布,沙坪坝
17,楼龄新环境优美+业主急售+自由装修设计+高楼层视野好,78万,"7,995元/平",金地自在城愉悦天城,未知商圈,3室2厅,97.57平米,南,毛坯,中楼层(共8层),板楼,1人关注,6个月以前发布,沙坪坝
18,大一房，无抵押，业主诚心出售。,40万,"7,105元/平",富力城蝶花岸,大学城,1室1厅,56.3平米,南,精装,低楼层(共15层),2009年,3人关注,一年前发布,江北区
19,横厅洋房，带大露台100平左右，位置安静,156万,"12,581元/平",西著七里二组团,西永,3室2厅,124平米,南,毛坯,低楼层(共8层),板楼,1人关注,一年前发布,渝北区
20,精装修带新风地暖，带全屋定制，未住人的次新小区,95万,"9,045元/平",万科招商理想城学府,西永,3室2厅,105.04平米,南,精装,中楼层(共13层),板塔结合,0人关注,1个月以前发布,巴南区
21,单价3000多买李家沱正规大2房 楼脚菜市场,30万,"3,534元/平",新坪村,李家沱,2室2厅,84.89平米,南,简装,中楼层(共6层),2000年,0人关注,1个月以前发布,渝北区
22,石桥铺保利云上雅集旁二楼两室一厅76平米价格有惊喜,42万,"5,509元/平",玉灵小区,石桥铺,2室1厅,76.24平米,东南,简装,低楼层(共6层),暂无数据,4人关注,8个月以前发布,巴南区
23,成熟配套 即买即住 出门公园 公交 小区环境好,75万,"7,938元/平",金色池塘,中央公园东区,3室2厅,94.49平米,南 西南 西,精装,低楼层(共25层),2008年,1人关注,7个月以前发布,渝北区
24,盛璟东方 万达广场旁 正三房 正朝南 出入方便,58万,"5,545元/平",石竹盛璟东方,滨江新城,3室2厅,104.6平米,东南,毛坯,高楼层(共30层),塔楼,0人关注,5个月以前发布,江北区
25,双轻轨+户型方正+总价低+安心卖,67万,"4,683元/平",洋世达花园,南坪,4室2厅,143.08平米,南,简装,8层,平房,0人关注,1个月以前发布,沙坪坝
26,九曲河畔 龙湖高层天花板 小资购房必看,158万,"13,660元/平",龙湖九里峰景,九曲河,3室2厅,115.67平米,东南,毛坯,低楼层(共32层),塔楼,1人关注,一年前发布,沙坪坝
27,二郎站旁 天街在建 精装两房 户型方正 配套齐全,58万,"8,015元/平",朵力尚美国际,二郎,2室1厅,72.37平米,北,精装,27层,2007年,0人关注,一年前发布,巴南区
28,北山路派出所旁，全新精装三室没住过人，家电家具齐全,26.8万,"3,117元/平",北山路,北山,3室2厅,86平米,东南,精装,中楼层(共8层),暂无数据,0人关注,16天以前发布,渝北区
29,忠恕沱轻轨旁 华润中央公园精装三房,121万,"12,517元/平",华润中央公园,大石坝,3室1厅,96.67平米,西南,精装,33层,2011年,5人关注,8个月以前发布,沙坪坝
编号,标题,总价,单价,小区,街道,户型,面积,朝向,装修,楼层,楼型/时间,关注度,时间,地区
0,横厅大平层，朝南视野开阔，精装家具家电齐全拎包住,156万,"11,363元/平",世茂璀璨天城晏旸,汽博中心,4室2厅,137.29平米,东,精装,中楼层(共26层),塔楼,0人关注,1个月以前发布,江北区
1,房满了两年可以正常交易，采光不受影响，诚心出售,82万,"10,111元/平",御峰四期尚城,南滨路,2室2厅,81.1平米,北,毛坯,中楼层(共34层),2020年,6人关注,一年前发布,沙坪坝
2,鹿山轻轨站旁 次新小区 清水三室 成熟配套 生活便利,95万,"10,635元/平",汇祥林里3000四期,中央公园东区,3室2厅,89.33平米,北,毛坯,30层,2017年,0人关注,1个月以前发布,渝北区
3,巴滨路龙湖春江天镜正看中庭全新精装四房出售,115万,"8,972元/平",龙湖春江天镜江宸,融汇半岛,4室2厅,128.18平米,西北,精装,38层,塔楼,2人关注,一年前发布,沙坪坝
4,全屋精装修  品牌家电 拎包入住 看中庭  户型方正,96万,"8,810元/平",康田栖樾,九宫庙,3室2厅,108.97平米,北,精装,18层,2017年,0人关注,1个月以前发布,江北区
5,大学城便宜的清水四房，视野开阔，满五唯一，安心卖,82万,"5,929元/平",东方剑桥,大学城,4室2厅,138.31平米,东北,毛坯,中楼层(共28层),2010年,1人关注,6个月以前发布,沙坪坝
6,牛角沱轻轨站 上清寺转盘旁 两室一厅,32万,"5,274元/平",嘉陵桥西村,上清寺,2室1厅,60.68平米,南,简装,低楼层(共10层),2000年,1人关注,18天以前发布,渝北区
